Sample	T_500	pU_500	U_500	T_300	pU_300	U_300
GEO020414_8	5825946	9.49152	552971	5328677	9.72176	518041
GEO020414_9	3815390	9.84625	375673	3311770	10.2208	338489
GEO020414_11	5803141	9.6933	562516	4659273	9.6678	450449
GEO020414_14	4039842	9.76392	394447	3494966	9.98324	348911
GEO020414_15	2336383	10.2687	239917	2039080	10.4683	213458
GEO020414_16	4033436	9.77809	394393	3618428	9.87923	357473
GEO020414_17	3864586	10.0322	387704	3057343	9.65142	295077
GEO020414_23	7069859	9.57678	677065	6158191	9.57901	589894
GEO020414_24	4525205	9.99654	452364	3842521	9.77036	375428
GEO020414_25	3666663	9.90091	363033	2587646	10.0464	259965
YS121315_12	5791989	10.0808	583876	4038365	10.3075	416254
