Sample	T_142	pU_142	U_142	T_110	pU_110	U_110
MU033015_03	355018	45.83	135361	357159	37.90	162701
MU032315_02	437472	36.19	124398	438895	28.34	158313
MU012816_10	539705	33.99	147686	541983	27.25	183446
MU012816_07	563028	27.66	115534	564446	20.47	155725
MU033015_02	578186	28.04	115642	579606	19.95	162109
MU012816_09	578591	28.67	119752	580261	20.64	165865
MU012816_05	874690	36.25	253577	878379	28.87	317100
MU032315_01	1010856	26.18	191081	1013921	18.85	264628
SO022216_01	1138526	26.72	213344	1141733	18.69	304191
MU011816_01	1362386	30.98	317779	1367405	23.24	422030
MU012816_06	1480188	21.23	210326	1483345	14.18	314239
MU012816_08	2151762	26.98	437057	2158007	20.25	580648
