populations -b 303 -P populations_temp -M ../scripts/PopulationMapTEST.txt -t 36 -r 0.50 -p 2 -m 5 --genepop
populations version 1.42 executed 2016-11-01 18:14:28

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
0	4
1	66206
2	9379
3	3480
4	1985
5	1500
6	1201
7	1060
8	896
9	802
10	683
11	663
12	606
13	566
14	558
15	504
16	491
17	433
18	393
19	421
20	378
21	411
22	338
23	385
24	369
25	344
26	332
27	328
28	339
29	306
30	289
31	304
32	294
33	300
34	299
35	274
36	291
37	336
38	294
39	314
40	337
41	334
42	323
43	326
44	333
45	372
46	326
47	324
48	422
49	427
50	470
51	558
52	620
53	790
54	1109
55	1801
56	3973
57	21216
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	128752
1	1534
2	587
3	350
4	205
5	129
6	111
7	95
8	59
9	67
10	54
11	39
12	50
13	38
14	32
15	23
16	19
17	25
18	19
19	15
20	14
21	18
22	7
23	19
24	8
25	6
26	7
27	8
28	8
29	9
30	11
31	5
32	8
33	9
34	8
35	3
36	7
37	5
38	5
39	5
40	3
41	6
42	3
43	3
44	3
45	4
46	3
47	3
48	3
49	3
50	1
51	3
52	1
53	1
54	3
56	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	128752
1	1534
2	587
3	350
4	205
5	129
6	111
7	95
8	59
9	67
10	54
11	39
12	50
13	38
14	32
15	23
16	19
17	25
18	19
19	15
20	14
21	18
22	7
23	19
24	8
25	6
26	7
27	8
28	8
29	9
30	11
31	5
32	8
33	9
34	8
35	3
36	7
37	5
38	5
39	5
40	3
41	6
42	3
43	3
44	3
45	4
46	3
47	3
48	3
49	3
50	1
51	3
52	1
53	1
54	3
56	1
# Distribution of population loci after applying locus constraints.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
16	83
17	153
18	109
19	194
20	163
21	151
22	140
23	139
24	127
25	114
26	101
27	77
28	57
29	61
30	72
31	118
32	139
33	174
34	227
35	213
36	247
37	307
38	273
39	305
40	326
41	329
42	323
43	327
44	332
45	371
46	326
47	324
48	421
49	427
50	470
51	558
52	620
53	790
54	1109
55	1801
56	3973
57	21216
# Distribution of confounded loci at catalog locus.
# Confounded samples at locus	Count
0	34744
1	1323
2	499
3	304
4	182
5	109
6	98
7	77
8	54
9	60
10	47
11	31
12	47
13	31
14	28
15	18
16	17
17	20
18	15
19	13
20	10
21	11
22	4
23	13
24	4
25	5
26	6
27	5
28	1
29	4
30	3
31	2
32	1
33	1
# Distribution of missing loci at catalog loci.
# Absent samples at locus	Count
0	33216
1	1274
2	485
3	333
4	289
5	345
6	155
7	186
8	247
9	378
10	149
11	190
12	269
13	37
14	32
15	24
16	21
17	24
18	20
19	14
20	9
21	9
22	6
23	7
24	9
25	6
26	5
27	4
28	5
29	1
30	6
31	3
32	4
33	3
34	2
35	2
36	3
37	1
38	6
39	3
40	3
41	2
Population Pohang contained 157 incompatible loci -- more than two alleles present.
Population Geoje contained 176 incompatible loci -- more than two alleles present.
Population Namhae contained 131 incompatible loci -- more than two alleles present.
Population Pohang contained 0 incompatible loci -- more than two alleles present.
Population Geoje contained 0 incompatible loci -- more than two alleles present.
Population Namhae contained 0 incompatible loci -- more than two alleles present.
