ENSGMOT00000000802.1	Phel_contig_1060	76.18	680	151	9	579	1254	187	859	3e-95	348
ENSGMOT00000001549.1	Phel_contig_1512	73.04	560	120	26	592	1134	1712	1167	1e-41	169
ENSGMOT00000002670.1	Phel_contig_1544	76.60	1667	371	17	82	1739	3277	1621	0.0	900
ENSGMOT00000008478.1	Phel_contig_10349	84.67	150	21	2	751	899	5182	5034	1e-35	148
ENSGMOT00000008510.1	Phel_contig_8954	76.71	4260	920	62	228	4450	583	4807	0.0	2305
ENSGMOT00000008668.1	Phel_contig_5519	75.77	2117	489	22	1	2105	2198	94	0.0	1046
ENSGMOT00000009017.1	Phel_contig_2347	81.16	929	165	4	4	932	188	1106	0.0	741
ENSGMOT00000010469.1	Phel_contig_3578	73.28	479	95	26	439	903	1759	1300	8e-34	145
ENSGMOT00000011991.1	Phel_contig_7024	73.81	1600	382	28	286	1865	4004	2422	6e-171	599
ENSGMOT00000012564.1	Phel_contig_8899	84.06	715	108	5	37	749	1	711	0.0	686
ENSGMOT00000013228.1	Phel_contig_2826	73.80	500	116	13	3760	4250	1445	952	2e-45	183
ENSGMOT00000015538.1	Phel_contig_3275	77.10	1524	337	12	472	1989	2918	1401	0.0	870
ENSGMOT00000016732.1	Phel_contig_840	77.38	2078	423	38	14	2060	3399	1338	0.0	1190
ENSGMOT00000016760.1	Phel_contig_840	80.12	1182	231	4	818	1997	2568	1389	0.0	878
ENSGMOT00000017160.1	Phel_contig_1512	73.31	682	153	24	766	1431	1763	1095	5e-61	233
ENSGMOT00000018060.1	Phel_contig_8899	82.56	711	123	1	37	746	1	711	2e-179	627
ENSGMOT00000019230.1	Phel_contig_5166	77.76	499	105	5	411	906	1697	1202	8e-82	302
ENSGMOT00000019485.1	Phel_contig_6240	81.31	888	166	0	286	1173	2208	1321	0.0	721
ENSGMOT00000020124.1	Phel_contig_2046	73.21	1344	333	23	448	1779	9221	7893	1e-129	462
ENSGMOT00000021203.1	Phel_contig_8899	83.37	523	85	2	1	522	191	712	3e-136	483
ENSGMOT00000021465.1	Phel_contig_8899	84.23	710	111	1	39	747	3	712	0.0	691
ENSGMOT00000021716.1	Phel_contig_74	82.46	399	70	0	16	414	362	760	1e-96	350
ENSGMOT00000021806.1	Phel_contig_74	85.64	411	59	0	1	411	353	763	1e-121	433
ENSGMOT00000022229.1	Phel_contig_3578	77.67	309	53	12	1334	1634	843	543	1e-42	174
